,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,test_col
0,908960,A Second Chance,a_second_chance,https://cdn.cloudflare.steamstatic.com/steam/apps/908960/header.jpg?t=1546899625,-1.0,-1.0,3,1,-1.0,-1.0,2019-01-07,799.0,799.0,0,0,0,-1.0,53.0,1.0,-1.0,,,-1.0,-1.0,-1.0,599.0,2685,2685,GameBringer,GameBringer,test
1,909010,LoveBug,lovebug,https://cdn.cloudflare.steamstatic.com/steam/apps/909010/header.jpg?t=1535726409,-1.0,-1.0,7,4,-1.0,-1.0,2018-08-31,499.0,499.0,0,0,0,2.0,62.0,0.0,-1.0,,,-1.0,-1.0,-1.0,499.0,8955,8955,Lizard Hazard Games,Lizard Hazard Games,test
2,909020,梦本无忧,,https://cdn.cloudflare.steamstatic.com/steam/apps/909020/header.jpg?t=1537329791,-1.0,-1.0,12,-1,-1.0,-1.0,2018-09-18,299.0,299.0,0,0,0,2.0,32.0,-2.0,-1.0,,,-1.0,-1.0,-1.0,299.0,34242,34245,幻想禁,We are Huanxiangjin,test
3,909060,Stephino RPG,stephino_rpg,https://cdn.cloudflare.steamstatic.com/steam/apps/909060/header.jpg?t=1626422138,-1.0,-1.0,6,-1,-1.0,-1.0,2021-07-16,0.0,0.0,1,0,0,3.0,16.0,-2.0,-1.0,,,-1.0,-1.0,-1.0,,48850,48850,Mark Jivko,Mark Jivko,test
4,909170,"A.D.M(Angels,Demons And Men)",admangelsdemons_and_men,https://cdn.cloudflare.steamstatic.com/steam/apps/909170/header.jpg?t=1640531125,-1.0,-1.0,4,-1,-1.0,-1.0,2018-08-15,999.0,999.0,0,0,0,1.0,54.0,-2.0,-1.0,,,-1.0,-1.0,-1.0,1299.0,56740,42222,SmartOliveGames,HandMade Games,test
5,909200,Wandering Owl,wandering_owl,https://cdn.cloudflare.steamstatic.com/steam/apps/909200/header.jpg?t=1538734429,-1.0,-1.0,5,4,-1.0,-1.0,2018-09-26,99.0,99.0,0,0,0,1.0,19.0,0.0,-1.0,,,-1.0,-1.0,-1.0,399.0,8959,8959,Lazy Gnomes,Lazy Gnomes,test
6,909270,Flying Soul,flying_soul,https://cdn.cloudflare.steamstatic.com/steam/apps/909270/header.jpg?t=1608140433,-1.0,-1.0,8,6,-1.0,-1.0,2019-01-15,99.0,99.0,0,0,0,2.0,44.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,199.0,5577,5578,Rafael Farias,Fiassink Games,test
7,909360,Organism8,organism8,https://cdn.cloudflare.steamstatic.com/steam/apps/909360/header.jpg?t=1587504975,-1.0,-1.0,-1,-1,-1.0,-1.0,1970-01-01,0.0,0.0,0,0,1,-1.0,69.0,0.0,-1.0,,,-1.0,-1.0,-1.0,0.0,34244,34244,Derek Duong,Derek Duong,test
8,909370,RoomESC- Secret of the Hidden Room: the Collaborator,roomesc_secret_of_the_hidden_room_the_collaborator,https://cdn.cloudflare.steamstatic.com/steam/apps/909370/header.jpg?t=1534505169,-1.0,-1.0,8,8,-1.0,-1.0,2018-08-13,499.0,499.0,0,0,0,2.0,32.0,0.0,-1.0,,,-1.0,-1.0,-1.0,499.0,8956,8956,PuzzleSpace,PuzzleSpace,test
9,909470,Touch Type Tale - Strategic Typing,touch_type_tale_strategic_typing,https://cdn.cloudflare.steamstatic.com/steam/apps/909470/header.jpg?t=1632762027,-1.0,-1.0,-1,-1,-1.0,-1.0,2021-12-31,0.0,0.0,0,0,1,-1.0,1029.0,0.0,-1.0,,33063.0,-1.0,-1.0,-1.0,0.0,8962,895,Pumpernickel Studio,The Irregular Corporation,test
10,909490,Hipster Attack,hipster_attack,https://cdn.cloudflare.steamstatic.com/steam/apps/909490/header.jpg?t=1542815184,-1.0,-1.0,4,1,-1.0,-1.0,2018-08-23,299.0,299.0,0,0,0,5.0,31.0,0.0,-1.0,,33083.0,-1.0,-1.0,-1.0,299.0,33986,33986,Televisor,Televisor,test
11,909500,Hurricane chase(飓风追击),hurricane_chase,https://cdn.cloudflare.steamstatic.com/steam/apps/909500/header.jpg?t=1643547369,-1.0,-1.0,4,1,-1.0,-1.0,2019-07-24,77.0,299.0,0,0,0,2.0,18.0,1.0,-1.0,,,-1.0,-1.0,-1.0,299.0,28216,28216,2AM(熬夜工作室),2AM(熬夜工作室),test
